AudioLDM Single GPU 1 epoch

FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg   # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                     aten::_convolution         0.13%        2.198s         1.71%       28.196s     174.861us       0.000us         0.00%      242.968s       1.507ms        161250
                                           aten::conv2d         0.04%     641.023ms         1.79%       29.496s     189.530us       0.000us         0.00%      241.018s       1.549ms        155625
                                aten::cudnn_convolution         0.81%       13.362s         1.22%       20.066s     128.940us      186.066s        25.05%      202.212s       1.299ms        155625
                                              aten::bmm         0.32%        5.309s         0.39%        6.511s      38.162us      173.044s        23.30%      175.180s       1.027ms        170625
      autograd::engine::evaluate_function: BmmBackward0         0.06%     945.843ms         0.37%        6.077s     115.752us       0.000us         0.00%      115.017s       2.191ms         52500
                                           BmmBackward0         0.03%     461.247ms         0.31%        5.115s      97.420us       0.000us         0.00%      114.992s       2.190ms         52500
autograd::engine::evaluate_function: ConvolutionBack...         0.12%        1.971s         1.99%       32.862s     330.682us       0.000us         0.00%       88.250s     888.048us         99375
                                   ConvolutionBackward0         0.03%     556.945ms         1.86%       30.680s     308.728us       0.000us         0.00%       87.842s     883.949us         99375
                             aten::convolution_backward         1.01%       16.677s         1.82%       30.099s     302.888us       55.994s         7.54%       87.674s     882.253us         99375
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       81.458s        10.97%       81.458s       5.431ms         15000
autograd::engine::evaluate_function: SoftmaxBackward...         0.02%     300.445ms         0.14%        2.373s      90.383us       0.000us         0.00%       75.849s       2.889ms         26250
                           aten::_softmax_backward_data         0.04%     731.130ms         0.11%        1.875s      71.417us       37.484s         5.05%       75.821s       2.888ms         26250
                                       SoftmaxBackward0         0.01%     165.068ms         0.12%        2.063s      78.598us       0.000us         0.00%       75.806s       2.888ms         26250
                                ampere_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us       74.638s        10.05%       74.638s       1.106ms         67500
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us       71.888s         9.68%       71.888s       1.369ms         52500
                                       cudaLaunchKernel         2.31%       38.074s         2.38%       39.282s      10.319us       60.684s         8.17%       60.700s      15.945us       3806822
                                             aten::add_         0.41%        6.835s         0.49%        8.154s       9.516us       43.210s         5.82%       44.843s      52.333us        856875
                                       aten::group_norm         0.04%     683.675ms         0.96%       15.903s     128.512us       0.000us         0.00%       38.772s     313.311us        123750
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       38.731s         5.21%       38.731s     153.013us        253125
                                aten::native_group_norm         0.45%        7.384s         0.91%       15.038s     121.522us       32.739s         4.41%       38.592s     311.851us        123750
                                              aten::mul         1.01%       16.671s         1.07%       17.625s     282.867us       37.530s         5.05%       38.065s     610.889us         62310
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       37.514s         5.05%       37.514s       1.429ms         26250
void (anonymous namespace)::softmax_warp_backward<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       35.122s         4.73%       35.122s       4.683ms          7500
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       34.687s         4.67%       34.687s     685.174us         50625
                                               aten::mm         0.44%        7.319s         0.61%       10.043s      52.003us       27.291s         3.67%       33.693s     174.464us        193125
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       33.684s         4.54%       33.684s     690.951us         48750
void cudnn::ops::nchwToNhwcKernel<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       29.343s         3.95%       29.343s      61.131us        480000
                                         aten::_softmax         0.05%     817.406ms         0.06%        1.035s      34.505us       28.074s         3.78%       28.354s     945.137us         30000
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       26.471s         3.56%       26.471s       2.353ms         11250
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 1651.127s
Self CUDA time total: 742.746s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
